Frame_Width (mm),Lens_Height (mm),Temple_Length (mm),Lens_Thickness (mm),Weight (g),Price ($)
143,33,132,3.320026301,25.47443766,269.0207991
124,33,134,3.371247184,44.3438118,381.1895219
127,42,140,3.348444508,42.42863881,257.5572513
129,48,138,3.118127536,49.03112034,303.7609497
136,39,134,1.467952943,37.96234892,191.522986
147,34,130,1.87382371,34.37739151,322.7579804
145,36,143,4.200268305,25.36155691,281.2512056
128,45,134,3.009461956,17.69010849,280.4255996
141,30,137,3.824305263,36.63064185,351.9049548
138,41,143,3.279636321,32.08567671,277.8061793
148,31,145,1.154761018,41.56760797,233.3227313
133,36,135,4.184855076,29.41502749,299.3896431
127,40,137,1.257296778,49.49429753,367.4966838
128,42,131,4.772696205,28.91642192,254.5667351
141,31,148,1.861507687,26.65750722,250.3536279
130,36,138,3.049624574,45.48452319,382.9967794
142,44,134,1.25435217,28.84272481,295.4104165
120,40,134,4.579729515,45.48140617,312.8067767
133,31,148,4.919761018,15.9574,371.910236
124,36,133,1.585170011,39.24076589,311.808935
140,33,145,2.18314617,17.51485057,157.6179355
145,40,145,1.063497687,20.18813621,251.2198316
133,31,145,4.147861968,39.5026257,370.4058945
123,45,136,2.245857331,25.14031694,228.4621713
141,36,147,3.355349877,22.36516904,315.1941332
142,42,130,1.156874005,43.05341482,215.7741816
144,34,132,3.861841067,48.11864025,314.8557806
120,46,137,3.117615853,23.1333227,247.1399718
141,41,130,3.899920984,26.10185847,243.9644675
142,48,136,4.158257253,39.99256571,342.8626526
138,36,136,1.356971465,43.53525047,265.0641916
127,35,137,3.312368483,49.97068051,280.8094783
134,37,148,3.599776136,24.56797531,230.9661275
140,42,146,3.066875016,34.48165061,317.9552105
134,34,140,1.729637593,19.69066295,208.1215218
128,31,144,4.182389136,26.57940368,165.578172
140,38,138,4.989833315,16.57389999,212.4255124
128,40,146,4.87708101,22.379349,262.4767372
129,35,140,4.11011826,32.72907419,209.6764008
139,36,135,2.672430891,20.7315693,231.5633538
144,36,138,2.349201991,46.12841586,280.0880091
140,48,147,1.274183196,39.8608154,288.7372189
145,35,149,2.665145215,15.97076009,223.181138
128,40,131,1.624194391,45.68455445,301.7839307
122,40,133,2.017338854,49.2062348,241.2963503
139,36,147,4.567547093,32.56515494,326.0390079
144,31,130,4.874102526,26.01137371,273.6958494
145,48,140,4.794236002,24.22125573,230.733579
130,33,132,1.773422743,18.0596823,230.3171938
125,35,137,4.603576833,32.20632823,353.8136382
121,46,134,1.566021204,16.75490077,246.2007014
126,34,149,3.030640832,32.6343017,271.6848845
137,36,134,3.574653469,23.83919543,256.5050038
146,38,140,2.849867492,31.67511845,300.5183745
121,30,141,4.807349742,29.64344442,298.8057126
146,30,138,2.332850892,25.67899882,263.1427996
136,48,142,3.109510652,30.70233838,318.4294091
130,35,149,1.301799742,31.59118612,239.6047594
146,47,132,4.40889832,44.17921166,353.2387708
131,39,142,2.653453584,38.30241702,309.7313751
146,40,140,3.802128462,30.16048092,293.1885551
138,30,140,3.728982524,46.68346782,296.6443577
141,30,149,3.705051571,41.45092718,404.3840153
143,42,136,3.027753115,17.6500914,290.31862
144,34,146,2.110075162,20.38110402,219.9510248
126,49,145,3.500378234,17.85837593,250.5575497
139,30,143,4.847166015,26.16021759,369.3194318
125,49,130,4.335797024,30.24763173,197.4630167
140,32,140,1.435072926,32.6486073,283.1357491
143,47,142,1.092749606,44.79942695,354.6881073
120,38,130,2.995885427,15.62847,260.319228
136,43,131,4.103317407,29.9900942,338.4125422
148,46,138,2.255610213,29.38494308,175.400748
130,43,142,3.804953112,48.16165778,333.0651066
141,33,134,4.727685057,23.43629212,359.57434
145,34,138,2.835938028,19.28420342,263.8195866
147,46,142,1.976638625,19.97910743,273.9610055
137,31,134,4.671031448,33.20499534,320.799183
140,34,144,2.889055856,28.68163312,290.1112858
136,33,136,2.631357227,41.39497099,211.6036864
126,33,143,2.413446286,26.31138303,89.09308331
136,35,145,2.69206781,19.47866132,295.3165382
139,49,135,3.694631417,28.54065264,227.3065326
128,42,131,2.734878509,45.90624661,188.9920615
136,34,145,2.296895554,29.19342937,192.8268396
139,36,148,3.974550662,44.17697029,331.1232191
141,49,134,1.811885708,28.003553,258.8560683
141,30,133,1.807734899,24.84849684,297.0135178
147,43,143,3.785742146,42.12019555,347.7376559
148,33,135,4.466826121,22.32320847,271.3909789
127,46,137,1.964843358,23.11407472,149.696827
136,43,132,1.7644999,16.74344933,231.3624454
126,45,133,3.681223525,21.57459989,307.0495807
120,43,130,3.483210087,28.25853878,387.2512509
132,45,131,2.789009386,28.98504446,281.5482245
149,49,142,1.383442559,29.72198304,315.2991107
142,37,138,1.367141724,31.78925312,190.3120931
138,32,141,4.109367156,35.01687155,258.1257151
146,48,139,2.80707647,21.63001586,264.6108867
143,30,139,4.431868365,36.48804641,213.9872567
138,31,147,3.298934606,26.77941056,249.2113909
149,44,141,3.474952565,40.69037573,364.4081045
149,39,145,4.736777768,34.50215576,259.0087305
148,47,135,1.658463576,34.39940194,243.2216315
136,43,139,3.172096917,38.9920446,424.8468883
132,46,144,1.2325544,26.65566468,272.2148132
148,42,138,2.435700192,30.02315292,155.8206906
149,30,131,1.592393999,35.4014254,305.7666592
135,34,147,1.751343849,29.75444672,280.4453431
127,42,141,4.73917888,30.54901161,341.2438178
138,43,132,3.442730113,24.53704755,262.3405991
137,32,136,4.568632533,25.05847592,281.4407602
120,44,138,2.774080738,39.46350925,269.9628246
133,48,137,3.390573387,15.14983997,236.5642576
138,46,135,1.128378049,18.33516478,212.5232164
134,32,130,2.878008929,48.20834613,252.1904519
137,45,143,3.256226693,21.54563287,162.3149196
121,43,145,1.067110857,29.63423122,203.7994492
141,41,145,4.157956707,44.73897976,332.021724
147,41,133,2.181691937,15.00358304,257.918198
136,40,135,2.8099483,47.38127163,388.7718978
137,46,144,3.142521141,16.87210184,356.8461346
149,37,137,4.968788613,20.98041673,291.826293
125,46,130,1.396736587,16.01862402,287.4073696
138,49,142,3.221118249,33.18320162,253.3750818
123,40,147,3.122376583,48.00830085,293.6464059
120,31,147,1.275638782,44.36628141,311.4622681
127,39,142,3.535753441,37.39119912,374.5566145
148,39,143,2.147417736,21.49210232,265.9663066
142,40,140,1.415071865,45.43589845,305.4010991
126,35,136,1.714567724,41.41713869,246.4204608
122,33,147,4.294412933,24.33967172,407.7914508
129,41,133,1.41649905,43.17812072,150.8825871
129,40,146,2.867709553,45.70029683,354.2453954
138,42,148,1.781092485,39.43791044,292.76977
133,34,143,1.649279448,18.51344528,243.0557207
121,35,139,1.822847038,49.44863952,246.1657642
147,30,135,2.971131738,17.66003461,153.2156599
120,35,147,1.951153684,37.90658959,292.5874994
142,47,133,1.386931801,18.86838393,261.5087126
142,38,140,4.205603477,46.68946755,311.5720054
147,44,142,3.159285613,27.24921892,237.6808197
137,37,137,1.627414609,32.90260578,212.7066214
126,48,139,2.885719395,21.25665545,255.9875681
148,45,140,1.273449999,34.12967664,102.5106173
127,35,132,3.321719454,47.85939668,237.7846536
120,35,144,2.361219278,46.55715747,314.3814093
144,32,137,1.414114119,17.23635721,156.2495066
142,39,149,1.734575399,28.23904773,165.2014768
122,30,147,2.382810819,24.36009771,258.0206462
143,43,130,4.225629817,31.8476517,288.460772
142,33,137,1.695022785,44.18052068,361.1491951
146,41,132,1.438656886,40.8598125,240.8594261
148,35,130,3.063756026,27.03923673,279.45097
127,40,149,3.234787856,28.39330403,327.4728015
141,41,145,1.360965271,37.89892472,258.0482959
144,39,138,2.137937917,21.79788091,251.9071635
134,47,146,2.051056152,18.59548071,286.115543
124,36,145,1.744886438,23.49059625,203.3684151
122,36,135,2.262552509,19.3411351,208.3527628
138,40,136,1.148434046,27.31944851,266.5549822
120,33,145,3.606199132,47.81480244,416.8507959
147,49,137,4.95394858,19.21048166,331.171819
134,30,139,3.53618707,43.64127503,226.5217335
127,42,143,2.444305802,33.7126811,305.3847845
121,47,140,3.671641205,37.15160768,324.0341184
122,38,131,3.286063684,20.95288288,210.9433433
143,38,141,4.387031722,20.2980659,369.968542
133,38,149,3.487498244,20.69602869,267.096917
143,39,149,3.536305418,38.34720067,332.5181883
133,31,142,1.886656753,41.17258934,92.9380731
130,35,144,2.662508954,47.20857306,286.8567147
135,44,141,2.377664241,28.93673234,268.1497196
123,32,142,1.04570075,31.16892844,194.0732153
139,40,137,2.253122918,31.43582556,256.857377
124,35,145,2.944248497,24.4464266,182.6122348
141,32,132,3.399394533,26.48814291,217.4475813
140,40,142,4.738275787,44.63870826,397.6690319
133,44,141,1.956455037,27.03027646,275.958504
142,42,148,1.609715964,45.41836357,238.0828666
135,49,131,4.477782756,25.6843699,387.5672972
137,39,130,4.767389976,26.89591069,262.4135919
126,35,137,2.951816994,34.60983051,267.4932675
129,44,138,1.460866245,18.60943965,175.5226504
126,47,137,2.941553197,47.27217935,281.2647436
120,47,146,1.437773308,43.71399435,198.3955647
142,36,138,4.532742315,38.46763396,398.772809
140,44,135,3.832600418,49.58437548,425.3488998
138,47,144,1.964548071,15.55997765,265.6043117
135,47,142,4.546762773,29.38711108,216.077386
148,49,141,3.551606916,45.04200704,375.2022725
138,38,142,4.813053347,30.15560479,449.1829695
123,31,136,4.921919396,15.18344679,255.9620298
148,37,147,1.013127157,20.52139405,195.90981
147,49,143,1.480856836,30.19253443,347.9705021
137,31,140,3.187689323,38.37817513,308.6893643
121,40,143,4.823411498,20.69289939,344.8393032
120,36,146,4.976934542,30.68150711,299.5926491
134,35,131,3.269631741,15.44759882,169.5986813
124,39,148,1.695205956,31.71251828,283.4373225
139,34,145,1.65220008,46.35735667,293.2446112
130,40,139,4.055431032,35.8868811,267.3359836
129,30,137,3.367750715,30.42294709,234.852351
121,31,134,3.195095596,20.67907675,261.1259008
122,30,136,2.863059693,22.08464972,302.451362
142,48,142,3.900538506,17.67784825,363.3863033
142,31,145,4.432216716,40.98438652,346.4984319
131,49,134,2.211832325,17.69973472,214.162299
139,33,145,1.883671069,28.43820901,230.5513574
124,41,144,3.680796665,41.24456427,329.7971159
124,49,138,4.658929696,39.94879448,295.7733929
125,47,141,2.392629761,35.21362583,308.0945418
149,30,137,2.089792877,34.99577069,247.6587867
128,30,142,1.904458521,18.16148281,293.9642473
121,43,134,2.017963631,21.12203451,341.9309334
140,33,143,1.539733372,33.716056,212.0595654
131,34,145,3.38711291,27.18281149,314.5389963
122,40,140,2.123304275,15.66279854,303.2853364
139,42,149,3.459777447,42.93583565,271.332903
145,45,141,1.332129398,37.88346435,304.8612633
141,42,144,1.461827168,26.40249133,262.4571527
131,31,141,3.144567711,18.43718191,192.4583375
143,45,138,3.046123778,35.69202662,382.2057878
136,35,130,2.086039707,27.1992349,178.6639544
129,43,132,4.308523406,23.9386268,285.1832211
149,30,141,1.748188659,40.25142386,212.2219636
143,46,149,2.442644497,26.48525214,211.2119837
146,40,142,3.222046824,19.76169721,234.9704617
133,48,135,4.46884441,31.85788117,334.7909878
142,32,139,2.674203901,43.99630259,323.0763508
136,40,139,2.594403822,44.73805745,387.0728622
137,34,145,3.318149712,44.72701077,279.5497822
138,46,130,2.266781662,29.73219438,358.7661795
136,36,145,3.836693013,42.68269739,262.2459058
133,39,133,1.994783763,44.75807688,293.6917395
128,40,135,4.292783988,31.08383736,391.6223633
127,32,148,2.089413653,26.15587861,206.433243
121,49,131,4.970804649,39.56875914,348.0772442
132,39,147,2.265849897,46.65642453,144.7303334
144,39,139,4.515304555,49.02533698,423.3415229
126,43,133,2.589423816,25.1578682,183.4276523
128,41,130,1.984219368,48.46598696,338.085182
141,44,144,1.904653002,32.47487863,295.7244116
141,39,139,4.400765127,25.71121465,365.8965947
130,39,147,2.235011945,49.59393386,304.733735
133,48,145,2.354252036,45.72327913,489.2938452
123,30,142,1.787972223,39.23458062,309.8948426
145,39,144,4.845298872,46.32297805,485.999575
145,31,131,1.978975762,38.85207554,301.913093
148,46,149,1.989774476,30.41413295,222.3983533
132,36,133,4.775591561,48.1817345,336.2432095
121,36,130,4.60359542,48.71366872,358.1692668
142,49,136,1.995643533,25.99612841,299.644007
124,38,140,4.458902278,27.40383671,346.5199653
130,31,139,1.999292852,28.39521543,224.6010267
125,43,130,1.337856659,43.77510831,344.1210506
137,46,140,4.281445394,42.69009778,342.2705047
140,30,139,4.086232631,49.40902867,350.1575093
129,38,143,2.178668487,31.2824787,226.6668184
123,49,143,1.36055594,40.78684829,345.5413501
128,48,136,1.825755538,44.98521644,250.1568546
125,33,140,4.084226284,22.74306533,316.1616503
121,37,133,4.85899126,36.71943996,377.2587014
136,42,131,2.036008287,34.16976867,376.4545671
124,33,136,4.273035204,40.99894518,120.2987265
144,38,148,1.911730629,39.33997939,234.8425089
125,38,143,3.718401567,43.44774138,296.4896073
145,47,148,1.334453876,25.89008166,247.4528574
131,41,136,3.341182562,22.57247371,279.3897614
142,39,141,2.076759565,43.18195558,221.8643597
140,40,132,4.703383795,27.61972009,247.5554258
129,36,144,2.159003555,25.06507453,216.8473965
141,38,134,2.593762779,26.78864839,274.7362162
140,35,137,4.362716445,17.32238969,337.0793947
146,48,143,2.75309833,42.06005212,329.2960416
144,45,133,1.953649007,40.03058805,277.6080922
125,44,136,3.190177284,34.34423588,243.7004001
146,36,136,4.359964783,40.0629743,340.4348114
127,45,147,2.732710448,28.05966084,266.8821506
121,34,143,1.531553957,25.33791766,256.1747315
131,45,137,2.532347652,45.18053463,284.3002836
132,30,141,4.817900532,29.78590996,323.3131814
144,48,139,1.288086481,21.85692601,188.3456319
140,34,143,2.63378069,41.21653705,301.1412015
126,36,138,3.592115176,26.7555149,226.7867732
129,48,135,1.314070905,22.41479553,224.3387537
132,34,134,2.379810188,15.95249972,247.0426579
136,46,130,4.762313416,48.97106154,305.7509003
145,37,130,1.122542769,31.35512844,234.8970743
140,30,149,4.006967518,20.66152556,206.7189239
147,31,146,4.365499865,41.52339058,238.5243161
149,44,140,2.108242902,46.06778948,323.5644465
145,49,141,1.858857478,33.47887974,228.2100955
133,47,132,4.659283574,15.99258106,287.7008168
121,40,135,4.056006782,27.78000365,267.9345083
147,39,140,1.453522838,23.50855725,242.1659062
141,33,142,1.848789022,37.27391144,306.079876
130,34,140,3.48542062,33.16002306,270.6965714
120,33,137,2.677667716,27.45078953,251.5546665
138,42,139,3.016697482,37.69767983,346.7041194
140,42,131,4.80616974,35.45502487,197.303635
123,47,143,2.680941853,46.72715436,342.098884
138,31,145,4.526727983,35.88810333,344.6772551
145,45,146,3.642978875,32.76991596,261.0462819
148,30,140,1.486477835,43.82845295,184.7691695
140,48,131,3.978028147,22.08468842,313.1692625
130,38,134,3.080836296,23.52476162,188.1421559
127,32,145,1.900389002,42.42505973,308.7612054
130,36,145,2.158197292,30.48225795,278.1886311
123,39,131,3.229329699,29.32325517,193.4002524
136,30,145,3.406809961,46.04772841,233.1379156
146,39,134,4.872705616,36.3538162,297.7591659
126,38,137,4.418880546,43.10181991,248.0063768
127,44,149,1.823357148,43.34436047,290.8658474
122,44,143,4.095968282,19.20093304,231.4664039
141,32,139,1.033167233,37.87958388,335.9302504
121,34,131,1.519233845,48.33807185,256.508857
142,38,132,1.798801664,31.80094814,190.6589073
134,38,147,3.388797411,40.62638489,343.2720417
143,36,131,1.778740025,34.8356515,285.0192552
141,41,138,2.461091768,22.1696091,183.5111529
141,38,131,1.971119129,21.8317776,229.9299914
124,35,136,2.349666498,30.18416078,276.1462101
143,31,136,4.769805779,31.90467008,319.6450101
120,38,143,4.98950541,32.60963549,225.7003626
145,46,134,3.742888425,48.42502651,328.8398224
123,30,137,3.289231486,18.50890904,299.0946458
134,48,147,3.833791383,28.3184357,276.7656198
139,35,135,4.086608802,33.00916023,426.7510747
138,34,143,3.956050974,48.70894588,236.6747587
122,31,147,1.327570113,32.6510186,210.2925677
139,38,146,2.241173677,42.1346502,215.3285218
130,43,138,2.373725527,41.22473378,332.8738059
136,33,142,2.477017897,34.82554173,330.2268267
149,33,145,2.377255115,19.57460857,288.6320264
146,44,139,4.14836919,22.65655485,148.0436088
132,37,139,3.990418672,23.40490905,382.6270554
130,33,133,1.018401212,16.35308767,185.3890156
121,45,141,2.185526094,28.27263035,252.5670741
128,33,137,3.494654591,36.36798028,326.6246508
145,45,144,1.481062488,20.04932046,222.5308563
121,41,148,1.284793178,21.12626034,215.15372
140,45,144,4.313592478,39.74452149,310.9792435
128,48,137,2.810737089,20.92386861,298.556313
128,37,137,4.422749472,19.73674522,301.9056848
127,35,148,4.294210909,49.22446603,310.0546366
136,39,138,4.573482089,15.51573483,262.571552
120,34,146,1.193098254,26.38928593,298.8169504
144,47,137,1.744520264,16.22278315,293.3973336
148,39,141,2.184572658,44.33168678,269.6232751
130,39,144,1.544921551,35.42375,225.7206446
127,36,133,2.941879283,16.67831485,241.8379433
129,47,135,4.19590756,36.53767539,299.0757409
144,30,145,4.804727243,19.30837374,178.340845
126,36,134,4.558296538,32.35064127,356.6519045
122,30,142,2.82934672,38.42945201,292.7692834
122,44,144,3.545964405,20.19774615,206.7440789
137,33,146,1.922784494,32.39676427,138.8273293
124,49,149,2.612036,31.00938252,237.8243917
131,39,134,4.484730382,47.05126669,338.6161052
131,38,148,1.116790088,49.84954881,360.0692497
138,31,136,3.131037091,37.90660563,375.345891
149,43,132,4.491193192,44.92007045,316.8423478
125,45,142,1.488039495,37.64086851,294.5120525
121,30,143,4.930184808,45.67001894,242.6174022
131,31,145,1.049565856,30.16452182,250.3141072
138,36,142,4.544480046,36.27964502,259.5901002
124,39,131,2.414690298,44.58093331,208.4582287
131,49,143,1.530762327,47.13300021,316.2093145
146,30,149,1.629432701,15.86389567,238.8177655
146,42,136,3.804714873,18.63834423,328.8087892
136,30,134,4.482878707,47.59102215,336.0853086
148,34,143,3.564265415,34.89780694,149.0161207
136,45,138,4.714899885,49.65672329,238.4161501
129,44,139,4.36991518,42.7421565,365.2019219
144,46,136,1.036127228,43.63490643,291.1618902
142,45,143,3.677718658,28.51428777,316.0748346
136,42,143,2.218538755,24.01394857,201.3696126
134,40,131,2.818000047,35.93907109,283.1103766
131,46,146,1.376122993,45.76612345,315.2022738
149,46,149,2.128396647,40.3994478,274.687964
135,31,133,3.53074387,31.52612991,321.835809
143,42,142,1.873528521,41.36201666,390.1900346
138,43,147,3.590146673,39.16391681,311.5657701
127,40,132,4.692128683,46.95679987,214.6181049
140,39,148,1.01976122,24.22450281,273.4399181
136,32,134,4.143082879,19.17590107,195.7457119
142,46,130,3.565275521,31.4517907,234.3605554
124,44,138,1.186531051,27.63782838,196.3842728
141,38,137,4.160668549,49.12014015,330.3102648
135,39,132,1.898084141,15.26264657,217.9411905
125,37,131,2.063282163,47.66840717,241.8532038
127,42,130,1.37406273,48.42777279,214.5611194
144,47,141,3.137519261,16.78354319,418.1603576
137,34,142,2.992894961,46.13494479,344.9392063
144,35,139,2.388698025,31.47725939,278.5866253
131,46,146,1.675015231,41.81527578,305.954303
134,40,140,4.351814218,17.77394359,344.8356182
146,49,134,4.50551372,48.43219579,252.2746465
145,45,138,3.162318443,36.26419663,309.7110843
128,38,142,1.976901334,46.45430062,304.5531474
132,31,149,1.384440263,38.5537083,183.8503585
145,34,140,4.47417667,33.78836029,369.022449
134,30,133,1.384210878,21.03734895,177.9572494
129,33,140,1.052720151,21.22839456,248.0913715
135,33,138,2.877590309,31.53996022,326.4533159
126,32,136,3.925084088,45.46547755,425.8422923
136,38,145,2.830148018,19.03265373,205.4872718
142,41,134,1.205642428,49.94348024,304.3869866
145,39,135,3.760116454,45.65692898,315.4418228
140,31,148,3.569330482,28.73955697,223.3279715
141,40,130,3.726118924,23.85914158,146.0190852
145,39,145,1.844809965,47.26986333,325.7268982
126,35,147,4.182793637,19.31240667,361.0213154
133,47,142,2.916672847,27.15514774,385.2559168
134,31,130,3.145411242,17.9369322,213.8659427
140,31,139,3.183320039,48.37117979,350.3971017
126,39,136,2.147225748,36.6168032,218.3608172
128,45,134,2.000536417,26.76628756,298.9905419
138,41,142,1.019064522,24.64191079,281.5462857
135,30,145,2.586441368,30.54330027,290.3755916
127,37,149,2.940411936,18.1982467,227.986523
137,45,143,3.971214983,46.12721256,282.4490216
146,47,140,1.266507844,32.88291319,333.612702
142,42,148,4.69595765,40.37843436,347.6161253
148,44,131,2.055833873,23.18110446,279.5805196
137,41,137,2.466882761,32.63122413,323.4309729
149,37,142,1.193449862,22.38801477,186.9350855
139,39,136,3.612545643,43.56331151,269.0413062
126,43,141,3.83569119,42.13462534,362.0134068
122,34,137,4.715164869,20.18708135,272.76941
137,47,145,2.347316013,17.60774153,187.2808849
146,48,147,2.02947492,43.84688578,281.1947161
129,44,148,3.904346014,18.83767667,276.8898865
126,35,133,3.827203554,34.19693932,485.1546213
136,40,141,4.748496231,33.70705543,403.134384
133,40,145,1.821274497,22.10304238,206.8324097
143,49,146,3.821170491,35.69747631,268.5200205
122,49,133,1.267474309,32.59643226,166.370784
131,47,149,2.921472427,32.82162278,292.0043353
147,47,138,1.477563109,27.58949917,200.7571005
132,39,134,3.612583952,44.34499949,271.2425348
121,31,146,3.405867047,17.9529697,229.5612514
122,38,146,1.195331735,30.35180667,392.158742
124,43,131,2.27847129,24.09357254,340.7016526
130,48,131,2.580134529,44.69516382,214.2177281
127,39,136,1.992241078,22.87781694,213.6521806
145,33,133,1.154680176,41.84586882,296.825873
142,35,142,2.275287584,36.40303628,229.1853701
142,43,149,4.170499606,45.61765894,365.3301599
131,33,140,2.440436354,35.782788,340.6589052
126,44,132,2.293479021,34.47695282,251.7407192
134,45,131,4.767012552,43.03954789,386.0797359
143,36,145,1.166522875,34.68702633,279.1548328
136,46,132,4.069152783,44.55897206,208.0968909
123,48,144,2.932374393,16.72613104,248.7168208
148,48,146,4.77785003,32.33024488,295.5613882
141,46,145,2.573882977,43.44420297,288.3950282
144,35,149,3.832169348,44.69278014,342.3817425
132,40,136,1.279741458,44.19193821,322.7779067
137,45,145,4.715089702,36.15334619,315.5399841
120,37,134,2.378170667,49.78899697,321.432665
135,40,131,3.096018303,21.34852077,187.6274139
132,36,130,1.553926435,21.10601528,177.6194419
129,48,142,4.782231485,16.14879361,224.1524423
131,39,145,3.691881616,49.62680117,223.1337474
149,38,134,1.215789907,27.18071776,243.8552626
121,33,132,1.620827117,41.67189628,378.7546359
142,44,144,2.599335991,17.08986095,241.269778
122,42,145,1.86708405,25.45408372,276.6820459
129,31,140,2.218502278,36.83465695,316.2750297
121,31,148,4.989964644,33.36730336,210.9997244
149,45,147,3.634594789,22.27118839,429.211499
146,38,138,4.688870409,31.15575195,286.5399259
142,42,137,2.743193499,18.80736972,279.3942121
132,32,148,3.841129138,33.99462153,284.7931219
132,38,134,2.838761169,18.39295051,242.4679112
137,42,146,2.312898171,37.25774101,293.117695
122,31,134,3.076692586,20.43751523,309.0444663
146,37,143,2.709244167,34.14800623,205.5828895
126,38,136,4.922162595,19.51922379,266.337391
133,45,138,2.984665621,29.02486518,238.2551067
139,31,146,4.244452532,27.31410407,224.419578
148,35,132,3.667277873,41.47437449,279.6396578
149,37,137,2.918508949,37.44065756,367.8237482
136,34,142,2.89660029,47.79810871,226.5864214
148,38,145,2.367560468,47.26687282,295.9766187
149,30,139,1.427927231,40.374861,228.1560205
140,38,147,4.045877316,41.97050092,348.9990316
131,39,132,4.672379173,36.87193458,334.4988028
144,33,141,1.871819419,39.20821308,354.744471
135,32,145,4.702693976,36.6027829,280.1370216
143,39,147,1.929216872,25.9117761,301.843967
131,44,146,3.120316408,27.27413539,269.828876
134,40,136,2.374487985,35.11568398,159.5492503
144,43,148,1.458035144,40.20619246,172.1138472
129,35,137,1.2113535,29.21416661,218.5194347
149,41,146,2.461386129,19.99337303,282.0831248
144,42,136,1.189375458,31.07960089,279.9276983
126,46,130,1.41682575,48.71157372,237.5629543
139,45,137,1.569190315,22.49304038,286.6208104
124,32,148,1.007662825,37.71741804,263.3184587
120,31,149,1.613008863,49.38896294,244.3715706
149,40,149,3.309114722,28.16832018,258.3680789
136,38,139,4.278092488,46.07592631,325.6882133
122,32,141,1.773719838,45.2403051,219.6195824
132,47,130,1.323490415,26.86657357,237.8750027
133,49,133,3.918056794,18.44810638,365.7583618
143,44,133,1.032650846,21.24887041,276.3838748
149,43,138,3.936648408,27.80122123,290.8595272
137,31,144,1.524468943,48.56970081,275.637005
123,46,144,1.913140248,24.60575508,185.4129351
137,37,136,1.480279644,47.44026611,202.8467077
149,39,141,1.989352628,21.347764,145.6996904
124,47,132,4.192703754,48.9434349,301.8482945
144,48,149,1.530176421,25.27615874,319.536512
135,37,138,4.976662529,37.15822922,329.2523734
120,37,143,2.308391104,17.43919286,254.7736902
140,32,142,4.687872502,25.48824599,283.5104059
133,32,141,1.760132319,22.37486422,200.494128
134,41,130,1.75159008,15.1195834,179.3169761
128,46,148,3.261342732,20.48694257,273.912594
134,33,145,1.20240034,35.75862774,344.4373005
136,46,141,4.204011591,28.64720606,315.3052027
144,43,139,2.758461003,40.28998435,281.469221
143,48,131,3.796785893,38.48761101,203.2457516
123,38,147,1.698528814,42.97548282,210.2377776
131,41,142,3.569429403,45.34587581,295.1267943
146,34,135,3.376282617,43.69389261,296.4569811
145,40,141,4.022645008,30.68212939,189.8535483
124,49,133,2.189605171,25.80547056,176.1398379
148,32,130,4.7326623,32.5805862,276.777439
124,44,140,4.845204278,33.72949773,264.0538027
130,43,137,4.472494445,25.96110809,335.1227765
147,40,131,3.288135065,33.90022908,267.023807
125,49,131,2.681153083,18.70228783,194.8025078
126,37,145,1.231969674,23.08646283,167.9208237
143,33,130,4.788911206,41.11168304,371.747939
133,41,133,4.807125375,21.39912799,297.252812
143,37,135,1.07475382,19.86632469,188.7105396
130,35,149,2.427550187,25.0570117,172.2400975
149,44,143,4.520145473,27.98671909,343.5877843
132,41,149,1.323408132,26.49920396,198.9830854
121,45,144,1.786265507,28.11118847,339.3440245
144,45,136,4.914709267,19.896932,266.7118801
126,49,136,4.389155248,20.78883053,244.0831864
139,49,147,4.648253976,23.25422429,251.598446
123,33,131,1.568617675,29.06972061,263.5414271
146,40,149,1.845263836,26.75646856,306.7073088
127,42,144,3.421666337,42.6967226,220.8086356
139,38,130,3.006952884,33.39312696,209.56087
148,33,146,2.194013562,35.14953595,300.8486876
141,41,149,4.535385199,34.6207527,318.8081622
140,38,142,4.605554462,28.95712705,324.7407729
138,42,141,2.166736041,49.31691546,284.6360984
132,45,144,1.623012562,16.3065072,135.4681055
133,35,134,1.596369683,22.55432223,332.9701664
129,39,136,2.937700782,24.96291445,268.9810262
130,42,137,1.531673982,45.84543233,338.9984976
121,36,143,2.893360888,47.16041975,286.6466994
144,48,133,2.847736291,44.61363369,367.3077462
145,48,143,4.536440853,29.59328434,315.8518141
128,46,139,2.184841759,47.01183614,290.0102572
136,42,145,3.242609835,18.44778337,244.3288154
145,42,140,3.973999457,37.83521451,303.2997175
122,31,143,3.38365918,47.80283222,252.1601002
143,39,143,4.81627138,41.4214944,312.5851059
125,42,131,3.409109922,24.7253509,336.8370888
124,38,142,4.607448714,40.11270362,293.4994742
124,30,132,1.980225557,25.31671793,234.7710062
141,43,147,3.243011091,18.905374,225.485313
134,45,133,3.173223706,40.10275368,336.1328944
142,49,148,4.957808441,21.27293253,333.2004965
136,44,145,1.818025254,18.88727286,289.4697245
128,30,133,1.563973593,34.31160191,250.3861279
122,46,148,3.446688311,36.72188406,266.8030556
139,42,144,1.894768573,16.78696996,233.1995257
145,44,130,3.556621383,15.15641108,286.0327573
136,45,145,4.889956354,45.87246156,319.4551517
148,45,144,4.786023982,19.03383963,253.2835115
146,31,145,1.924412099,35.43643185,259.7034943
129,46,149,1.683585393,48.37411866,229.5437755
122,40,130,3.242957149,32.91685406,290.2435095
137,37,146,3.347109153,19.89293032,216.0612747
